Name,Processor,OS,Graphics,RAM,Storage,Weight,Display,Keyboard,Ports,Camera,Battery,Touchpad
Dell 16 Plus Laptop,"Intel® Core™ Ultra 7 256V (47 TOPS NPU, 8 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",Intel® Arc™ Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,"16"", Non-Touch, 2.5K, IPS, WVA, Anti-Glare, 300 nits, ComfortView Plus","English Backlit Copilot key keyboard, numeric keypad",1 USB 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4 and Power Delivery1 Thunderbolt™ 4 port with DisplayPort™ 2.1 and Power Delivery1 HDMI 2.1 port1 Universal Audio jack*,"1080p at 30 fps FHD camera, dual-array microphones",,Precision touchpad
Dell Pro 16 Plus Laptop,"Intel® Core™ Ultra 5 236V, vPro® (40 TOPS NPU, 8 cores, up to 4.7 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 5 236V vPro® processor, 16 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, FHD IR Cam",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (only with Core™ Series and Core™ Ultra 200U Series CPUs)","1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell 14 Premium Laptop,"Intel® Core™ Ultra 7 255H (16 Cores, up to 5.1GHz Turbo)",Windows 11 Home,Intel® Arc™ graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14.5"", Non-Touch, 2K, 30-120Hz, 500 nits",Graphite Backlit English Keyboard with Fingerprint Reader,3 Thunderbolt™ 4 (40 Gbps) with Power Delivery and DisplayPort™ ports1 Universal audio jack (headphone and microphone combo) port,"1080p at 30 fps FHD RGB-IR camera, Dual-array microphones, Ambient light sensor, Windows Hello compliant, Express Sign-In™, Intel Intelligent Collaboration",,Seamless glass touchpad with haptics
Dell Pro Max 16 Laptop,"Intel® Core™ Ultra 5 235H, vPro® Enterprise (18MB, 14 cores, 14 threads, up to 5.00 GHz Turbo, 45W)",Windows 11 Pro,Intel® Arc™/Arc™ Pro GPU,,"256GB, M.2 2230, Gen4 PCIe NVMe, SSD, Class 35",,"16"", Non-Touch, FHD+, LCD, 300 nits, FHD HDR Cam, mic",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 HDMI 2.1 port1 RJ45 Ethernet port, 1GbE1 Global headset port","1080p at 30 fps widescreen FHD+ RGB HDR camera, Dual-array microphones, TNR1080p at 30 fps widescreen FHD+ RGB HDR + IR camera, Dual-array microphones, TNR8MP HDR + IR camera, Dual-array microphones, TNR, Ambient light sensor (post-RTS)",,Premium Precision TouchPad with Muti-touch Gesture
Dell 16 Premium Laptop,"Intel® Core™ Ultra 9 285H (16 Cores, up to 5.4GHz Turbo)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5060, 8GB GDDR7, 45W",,"1 TB, M.2, PCIe NVMe, SSD",,"16.3"", Non-Touch, 2K, 30-120Hz, 500 nits",Platinum Backlit English Keyboard with Fingerprint Reader,"1 universal audio jackComputers shipped with integrated Intel® Arc Graphics, NVIDIA® GeForce® RTX™ 5050 discrete graphics (coming soon), or NVIDIA® GeForce® RTX™ 5060 discrete graphics3 Thunderbolt™ 4 Gen 2 Type-C® ports with DisplayPort™ 2.1 and Power Delivery","1080p at 30 fps FHD RGB-IR camera, Dual-array microphones, Ambient light sensor, Windows Hello compliant, Express Sign-In™, Intel Intelligent Collaboration",,Seamless glass touch with haptics
Alienware 16 Aurora Gaming Laptop,"Intel® Core™ 7 Processor (Series 2) 240H (24MB cache, 10 cores, 1.80 to 5.20 GHz P-Core)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5050, 8 GB GDDR7",,"512 GB, M.2, PCIe NVMe, SSD",,"16"", WQXGA, 120Hz, 300 nits, 100% sRGB, ComfortView Plus","Alienware White Backlit Keyboard, English US","2 USB 3.2 Gen 1 (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery1 HDMI 2.1 port with Discrete Graphics Controller Direct Output 1 universal audio jack (RCA, 3.5 mm)1 RJ45 Ethernet port, 1GbE1 power-adapter port","720p at 30 fps HD camera, Dual-array microphones",,Multi-touch gesture Premium Precision touchpad with integrated scrolling
Alienware 18 Area-51 Gaming Laptop,"Intel® Core Ultra 9 processor 275HX (24-Core, 36MB Total Cache, 2.7GHz to 5.4GHz)",Windows 11 Home,NVIDIA® GeForce RTX™ 5080 16 GB GDDR7,,"2 TB, M.2, Gen 4 PCIe NVMe, SSD",,"18"", WQXGA, 300Hz, 500 nits, 100% DCI-P3, Advanced Optimus, ComfortView Plus, G-SYNC, FHD Cam.",English US keyboard with per-key AlienFX RGB lighting,"Left Side Ports1 Global headset jack1 Full sized SD card (push-pull)Rear Ports1 RJ45 Ethernet port, 5GbE2 USB Type-A 3.2 Gen 1 (5 Gbps)1 USB Type-A 3.2 Gen 1 (5 Gbps) with PowerShare2 Thunderbolt 4 ports (for configurations with NVIDIA® GeForce RTX™ 5070 and below)2 Thunderbolt 5 ports (for configurations with NVIDIA® GeForce RTX™ 5070Ti and above)1 HDMI 2.1",Alienware 2MP FHD IR (1920 x 1080 resolution) camera with dual-array microphones and Windows Hello support Alienware 8MP UHD HDR IR (3840 x 2160 resolution) camera with dual-array microphones and Windows Hello support,,Multi-touch gesture Premium Precision glass non-RGB touchpad with integrated scrollingMulti-touch gesture Premium Precision glass RGB LED AlienFX lighting touchpad with integrated scrolling (on configurations including NVIDIA® GeForce RTX™ 5070 Ti and higher only)
Dell 15 Laptop,"Intel® Core™ 3 100U (6 cores, up to 4.7 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Alienware 16X Aurora Gaming Laptop,"Intel® Core™ Ultra 7 Processor 255HX (30MB cache, 20 cores, 1.8 to 5.2 GHz P-Core)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5060, 8 GB GDDR7",,"1 TB, M.2, PCIe NVMe, SSD",,"16"", WQXGA, 240Hz, 100% DCI-P3, ComfortView Plus, G-SYNC","1-Zone AlienFX RGB Keyboard, English US","2 USB 3.2 Gen 1 (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery1 Thunderbolt™ 4 (40 Gbps) port with DisplayPort™ 2.11 HDMI 2.1 port with Discrete Graphics Controller Direct Output 1 universal audio jack (RCA, 3.5 mm)1 RJ45 ethernet port (1 Gbps)  1 power-adapter portNOTE: To use NVIDIA G-SYNC, connect your computer to the monitor using an HDMI cable. Alternatively, you can use a USB-C to DisplayPort cable (purchased separately) to connect the monitor to the Thunderbolt™ 4 port on your computer.","1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones",,Multi-touch gesture Premium Precision touchpad with integrated scrolling
Dell 15 Laptop,AMD Ryzen™ 3 7320U with Radeon™ 610M,Windows 11 Home,AMD Radeon™ 610M,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB Type-A 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® port (data only)1 USB 2.0 (480 Mbps) port1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power jack,720p at 30 fps HD camera,,
